Raag Name,URL,Time,Aaroh,Avroh,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Magnitude,Final_X,Final_Y,Final_Z
Kafi,https://tanarang.com/wordpress/raag-kafi/,2nd Prahar of the Night (9PM to 12AM),S R g m P D n S'; - S' n D P m g R S;,,Gandhar and Nishad Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Kafi,Pancham - Shadj,S P - S' P R;,g R ; m P ; m P D P ; D n S' ; n D P;,True,False,True,True,False,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.0794,4.8946,1.9876
Kalawati,https://tanarang.com/wordpress/raag-kalawati/,2nd Prahar of the Night (9PM to 12AM),"S G P D n S'; - S' n D P G P G S ; ,n ,D S ;",,Rishabh and Madhyam Varjya. Nishad Komal. Rest all Shuddha Swar.,Audhav - Audhav,Khamaj,Pancham - Shadj,G D - D G;,S G P D ; P D n D ; D P ; G P D S n ; D n S ; n P ; D G ; P G S ; n D S ;,True,False,False,False,True,False,False,True,False,True,True,False,tanarang_Raw_Data.csv,5,0.0802,4.1135,1.2025
Kamod,https://tanarang.com/wordpress/raag-kamod/,1st Prahar of the Night (6PM to 9PM),S R P ; G m R S ; m R P ; D N S'; - S' N D P ; M P D P ; G m P ; G m R S;,,Both Madhyams. Rest all Shuddha Swaras.,Sampurna - Sampurna Vakra,Kalyan,Pancham - Rishabh,S; R; P; - S'; P; R;,S (m)R R P ; G m P G m R S ; S' R' S' ; D D P ; m R P ; D M P ; G m R S;,True,False,True,False,True,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,8,0.9901,6.9058,0.0443
Kaushik Dhwani (Bhinn Shadj),https://tanarang.com/wordpress/raag-kaushik-dhwani-raag-bhinn-shadj/,2nd Prahar of the Night (9PM to 12AM),S G m D N S'; - S' N D m G S;,,Rishabh and Pancham Varjya. Rest all Shuddha Swaras.,Audhav - Audhav,Bilawal,Madhyam - Shadj,S; G; m; D; N;,G m D N D S' ; N S' D ; G m ; D m G S ;,True,False,False,False,True,True,False,False,False,True,False,True,tanarang_Raw_Data.csv,5,0.0244,4.8832,0.5625
Kausi Kanada,https://tanarang.com/wordpress/raag-kausi-kanada/,3rd Prahar of the Night (12AM to 3AM),",n S g m d n S'; - S' n d P m g R g m R S;",,"Gandhar, Dhaivat and Nishad Komal. Rishabh and Pancham Varjya in Aaroh. Rest all Shuddha Swaras.",Shadhav - Sampurna Vakra,Asawari,Madhyam - Shadj,S; m; - S'; m;,"g m d P ; m g R ; g m S ; g m P m g R ; g S ,d ,n R S;",True,False,True,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0246,4.2059,2.5753
Kedar,https://tanarang.com/wordpress/raag-kedar/,1st Prahar of the Night (6PM to 9PM),S M P D N S'; - S' N D P ; M P D P ; m m R S;,,Rishabh and Gandhar Varjya in Aaroh. Both Madhyams. Rest all Shuddha Swaras.,Audhav - Sampurna Vakra,Kalyan,Madhyam - Shadj,S; m; P; - S'; P; m;,S m ; m P; M P D P m ; S R S ; M P D P M ; P S'; S' R' S' S' D D P;,True,False,True,False,False,True,True,True,False,True,False,True,tanarang_Raw_Data.csv,7,0.6703,5.5113,0.6074
Khamaj,https://tanarang.com/wordpress/raag-khamaj/,2nd Prahar of the Night (9PM to 12AM),"S G m P D N S'; - S' n D P m G R G S ,N S G m P;",,"Rishabh Varjya in Aaroh, Both Nishads. Rest all Shuddha Swaras.",Shadhav - Sampurna,Khamaj,Gandhar - Nishad,S m P - S' P G;,G m P D; G m G; P S' N S'; n D p; m P m G; R S;,True,False,True,False,True,True,False,True,False,True,True,True,tanarang_Raw_Data.csv,8,0.0496,6.7937,1.0093
Khambavati,https://tanarang.com/wordpress/raag-khambavati/,2nd Prahar of the Night (9PM to 12AM),"S R m P D S'; - S' n D P D ; m P ; G m S ; R ,n ,D S;",,"Nishad Varjya in Aaroh, Nishad Komal in Avroh. Rest All Shuddha Swaras.",Shadhav - Sampurna Vakra,Khamaj,Gandhar - Dhaivat,S; P; - D; P; G; S;,"S R m G m S ; R m P D ; n n D P D P ; m P D S' ; P D S' R' G' S'; R' n D S' ; D m P ; G m S ; R ,n ,D S;",True,False,True,False,True,True,False,True,False,True,True,False,tanarang_Raw_Data.csv,7,0.02,6.0,0.9898
Kirwani,https://tanarang.com/wordpress/raag-keervani/,2nd Prahar of the Night (9PM to 12AM),S R g m P d N S'; - S' N d P m g R S;,,Gandhar and Dhaivat Komal. Rest all Shuddha Swaras.,Sampurna - Sampurna,Not Defined,Pancham - Shadj,S R P - S' P R;,"P d S' ; S' N S' R' g' R' S' N d P ; d P m P ; P m g R ; g m ; g R S ,N ,d ,N R S ;",True,False,True,True,False,True,False,True,True,False,False,True,tanarang_Raw_Data.csv,7,0.081,4.8998,1.979
Komal Rishabh Asawari,https://tanarang.com/wordpress/raag-komal-rishabh-asawari/,2nd Prahar of the Day (9AM to 12PM),"S r m P d S'; - S' r' n d m P d m g r g r ,n ,d r S;",,"Gandhar, Nishad Varjya in Aaroh. Pancham Varjya in Avroh. Rishabh, Gandhar, Dhaivat, Nishad Komal. Rest all Shuddha Swaras.",Audhav - Shadhav Vakra,Bhairavi,Dhaivat - Rishabh,S; m; P; d; - d; m; r;,m P d S' ; r' n d m g r ; g r S;,True,True,False,True,False,True,False,True,True,False,True,False,tanarang_Raw_Data.csv,7,0.0097,3.02,3.9
Lalit,https://tanarang.com/wordpress/raag-lalit/,4th Prahar of the Night (3AM to 6AM),",N r G M d N S'; - S' N d; M d M m; G M G r S;",,Pancham Varjya. Rishabh and Dhaivat Komal. Both Madhyam. Rest all Shuddha Swaras.,Shadhav - Shadhav Vakra,Poorvi,Shuddha Madhyam - Shadj,S; G; m; - S'; m; G;,",N r G m M m G r S ; G M d N d M m; r' N d M m; G m M m; G; M G r S;",True,True,False,False,True,True,True,False,True,False,False,True,tanarang_Raw_Data.csv,7,1.0,4.0198,1.9901
