Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N,Source_File,Swar,Jati,Thaat,Vadi - Samvadi,Vishranti Sthan,Mukhya Ang
"Bhairavi, Adi",https://raagtime.com/ragas/bhairavi-adi,'09-12,S - g - R - g - m - P - d - S',S' - d - P - m - P - g - R - S,True,False,True,True,False,True,False,True,True,False,False,False,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Kabir",https://raagtime.com/ragas/bhairav-kabir,'06-09,"S - r - G - m, P - d - N - S'","S', r' - n - d - P - m - G - m - (r)G, m - r - S",True,True,False,False,True,True,False,True,True,False,True,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Kaushi",https://raagtime.com/ragas/bhairav-kaushi,'06-09,S - m - G - m - P - m - m - (N)d - (N)d - S',S' - R' - n - D - P - m - (G)m - G - m - P - r - S - (r)'d - (S)'n - S - m,True,True,True,False,True,True,False,True,True,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Komal",https://raagtime.com/ragas/bhairav-komal,'06-09,"S - r, g - m - P - d - n - S'","S' - n - d - P - d - n - d - P, m - g - r - S",True,True,False,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Mangal",https://raagtime.com/ragas/bhairav-mangal,'06-09,S - r - m - P - D - S',"S' - D - P - m - (G)r, S - r - G - r - S, (S)'D - 'D - S",True,True,False,False,True,True,False,True,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Nat",https://raagtime.com/ragas/bhairav-nat,'06-09,S - R - G - m - P - d - N - S',S' - N - d - P - m - G - R - S,True,False,True,False,True,True,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Prabhaat",https://raagtime.com/ragas/bhairav-prabhaat,'06-09,"N - r - G - m - M - G, G - m - P - d - N - S'","S' - N - d - P - m, m - d - M - m - G, r - G - M - G - r - S",True,True,False,False,True,True,True,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Saveri",https://raagtime.com/ragas/bhairav-saveri,'06-09,S - r - m - P - d - S',S' - N - d - P - m - G - r - S,True,True,False,False,True,True,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Shivmat",https://raagtime.com/ragas/bhairav-shivmat,'06-09,"S - r - S, G - m - P, (N)d - (N)d - S'","S' - n - d - P - m - g - m - P, m - G - m - (G)r, g - r - S",True,True,False,True,True,True,False,True,True,False,True,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Sourashtra",https://raagtime.com/ragas/bhairav-sourashtra,'06-09,S - 'N - S - m - G - D - N - S,S - d - d - P - G - m - P - G - M - r - S,True,True,False,False,True,True,True,True,True,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Bhairav, Udasi",https://raagtime.com/ragas/bhairav-udasi,'06-09,S - r - G - m - M - n - S',S' - n - M - m - G - r - S,True,True,False,False,True,True,True,False,False,False,True,False,raagtime_Raw_Data.csv,,,,,,
Bhankar,https://raagtime.com/ragas/bhankar,'03-06,"'N - r - S,G - m - P, G - M - D - M - G, M - D - S'Nr'S'","S' - r' - N - D, M - m - G, m - G - r - S",True,True,False,False,True,True,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bhatiyar,https://raagtime.com/ragas/bhatiyar,'03-06,"S - r - S - G - m, D - P -  G - M - D - S'",r' - N - D - P - m - G - M - G - r - S,True,True,False,False,True,True,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bhavani,https://raagtime.com/ragas/bhavani,'24-03,S - R - m - D - S',"S', D - m, R - S",True,False,True,False,False,True,False,False,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
Bhim,https://raagtime.com/ragas/bhim,'12-15,S - G - m - P - (S')n - S',g' - R' - S' - n - D - m - (P)D - m - (P)G - R - S,True,False,True,True,True,True,False,True,False,True,True,False,raagtime_Raw_Data.csv,,,,,,
Bhimpalasi,https://raagtime.com/ragas/bhimpalasi,'15-18,'n - S - g - m - P - n - S',S' - n - D - P - m - g - R - S,True,False,True,True,False,True,False,True,False,True,True,False,raagtime_Raw_Data.csv,,,,,,
Bhinna Shadja,https://raagtime.com/ragas/bhinna-shadja,'21-24,S - G - m - D - N - S',S' - N - D - m - G - S,True,False,False,False,True,True,False,False,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bhup,https://raagtime.com/ragas/bhup,'18-21,S - R - G - P - D - S',S' - D - P - G - R - S - 'D - S,True,False,True,False,True,False,False,True,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
Bibhas,https://raagtime.com/ragas/bibhas,'06-09,"S - r - G, M - G, P - D - N - D - S'","S', N - D, M - D, M - G - r - S",True,True,False,False,True,False,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bihag,https://raagtime.com/ragas/bihag,'21-24,'N - S - G - m - P - N - S',S' - N - (D) - P - M - P - G - m - G - R - S,True,False,True,False,True,True,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bihagda,https://raagtime.com/ragas/bihagda,'21-24,'N - S - G - m - P - N - S',"S' - N - D - P, n - D - P, D - G - m - G - R - S",True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bihag, Nat",https://raagtime.com/ragas/bihag-nat,'21-24,"S - R - G - m - P, P - N - N - S'","S' - N - D - P, G - m - n - D - P - m - G, (P)m - G - R - S",True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bihag, Pat",https://raagtime.com/ragas/bihag-pat,'21-24,S - G - m - P - N - S',"S' - N - D - P, G - m - (R)G - R - S",True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Bihag, Sawani",https://raagtime.com/ragas/bihag-sawani,'21-24,S - G - m - P - N - S',S - N - D - P - m - G - R - S,True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Bilawal,https://raagtime.com/ragas/bilawal,'06-09,Sa Re Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,True,False,True,False,True,False,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Alahaiya",https://raagtime.com/ragas/bilawal-alahaiya,'06-09,S - GR - G - P - ND - N - S',S' - N - D - n - D - P - m - G - m - R - S,True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Devgiri",https://raagtime.com/ragas/bilawal-devgiri,'06-09,"S - (G)R - (P)G - P, N - D - N - S'","S - N - D - P, (D)P - m - G - R, (R) - 'N - R - 'N, R - G - m - G - (R)G - R - S",True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Jaij",https://raagtime.com/ragas/bilawal-jaij,'09-12,"S - R - G - m - G - R, m - P - N - S'","S' - n - D - P - m - G - R, R - G - (m)R - S",True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Kukubh",https://raagtime.com/ragas/bilawal-kukubh,'06-09,S - R - G - P - (N)D - N - S',"S' - N - D - n - D - P, m - G - (M)R - S - S - R - S",True,False,True,False,True,True,True,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Nat",https://raagtime.com/ragas/bilawal-nat,'09-12,"S - G - m, P - m - G, M - P - D - N - S'","S' - N - D - n - P, m - G, m - R - S",True,False,True,False,True,True,True,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Sarpada",https://raagtime.com/ragas/bilawal-sarpada,'06-09,"S - (G)R - G, G - R - G - m, P - (n)D - N - S'","S' - N - D - P, D - n - D - P - m, G - R, G - (m)R - S",True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Shukla",https://raagtime.com/ragas/bilawal-shukla,'06-09,"S - G - m, P - G - m - P - D - N - S'","S' - n - D - P - D - M, (P)G, R - S",True,False,True,False,True,True,True,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Sukhiya",https://raagtime.com/ragas/bilawal-sukhiya,'09-12,"S - G - m - P, P - N - DNS'","S' - D - NDP, m - P - G, RS",True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Bilawal, Yamani",https://raagtime.com/ragas/bilawal-yamani,'06-09,S - R - G - P - D - N - S',"S' - N - D - P, D - n - D - P - M - G - m - G - R, G - R - S",True,False,True,False,True,True,True,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Chakradhar,https://raagtime.com/ragas/chakradhar,'21-24,S - G - m - D - N - S',S' - N - D - P - m - G - m - R - S,True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Champak,https://raagtime.com/ragas/champak,'18-21,"S - (R)G m, G - m - P - D - N - N - D - S'","S' - R' - n - D - (P)m, (m)P - (P)G - (R)S - R - S",True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Chandrakant,https://raagtime.com/ragas/chandrakant,'18-21,S - R - G - P - D - N - S',"S' - N - D - P, M - G - R - S",True,False,True,False,True,False,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Chandrakauns,https://raagtime.com/ragas/chandrakauns,'21-24,S - g - m - d - N - S',S' - N - d - m - g - m - g - S - 'N - S,True,False,False,True,False,True,False,False,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Chandranandan,https://raagtime.com/ragas/chandranandan,'21-24,S - g - m - d - N - S',R' - n - d - P - m - G - S - g - S,True,False,True,True,True,True,False,True,True,False,True,True,raagtime_Raw_Data.csv,,,,,,
Chandraprabha,https://raagtime.com/ragas/chandraprabha,'21-24,S - R - m - d - N - S',S' - N - d - m - R - S,True,False,True,False,False,True,False,False,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Chandrika,https://raagtime.com/ragas/chandrika,'24-03,S - R - m - P - N - S',"S' - D - P, m - P - D, P - m - R, 'N - S",True,False,True,False,False,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Chandrika, Udan",https://raagtime.com/ragas/chandrika-udan,'12-15,S - g - m - P - n - S',S' - n - P - D - P - m - g - S,True,False,False,True,False,True,False,True,False,True,True,False,raagtime_Raw_Data.csv,,,,,,
"Chandrika, Uday",https://raagtime.com/ragas/chandrika-uday,'09-12,S - R - g - m - P - d - N - S',S' - d - P - m - R - S,True,False,True,True,False,True,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
"Chandrika, Uday Ravi",https://raagtime.com/ragas/chandrika-uday-ravi,'18-21,S - R - G - m - D - N - S',S' - N - D - m - G - R - S,True,False,True,False,True,True,False,False,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Charukeshi,https://raagtime.com/ragas/charukeshi,'09-12,S - R - G - m - P - d - n - S',S' - n - d - P - m - G - R - S,True,False,True,False,True,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Chhayanat,https://raagtime.com/ragas/chhayanat,'21-24,"S - R - G - m - PR, G - m - D - P, P - S' - N - S'","R' - S' - ND - PR, G - M - R - S",True,False,True,False,True,True,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Daulati,https://raagtime.com/ragas/daulati,'24-03,S - R - P - m - n - P - N - S',S' - N - P - g - m - R - S,True,False,True,True,False,True,False,True,False,False,True,True,raagtime_Raw_Data.csv,,,,,,
Deepak,https://raagtime.com/ragas/deepak,'21-24,"S - G - m - P, D - N - S'",S' - n - D - P - m - G - R - S,True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Des,https://raagtime.com/ragas/des,'24-03,S - R - m - P - N - S',S' - n - D - P - m - G - R - 'N - S,True,False,True,False,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Deshakhya,https://raagtime.com/ragas/deshakhya,'21-24,"'N - S - m - R, P - m, n - P, S'","S', n - P, m - P, g - m, R - S",True,False,True,True,False,True,False,True,False,False,True,True,raagtime_Raw_Data.csv,,,,,,
Desh Gaud,https://raagtime.com/ragas/desh-gaud,'06-09,"S - r - S, P - d - N - S'","S' - N - d - P, S - r - S",True,True,False,False,False,False,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Desi,https://raagtime.com/ragas/desi,'09-12,S - R - m - P -  m - P - n - S',"S' - P - D - P - d - m - P, R - g - S - R - 'n - S",True,False,True,True,False,True,False,True,True,True,True,False,raagtime_Raw_Data.csv,,,,,,
"Desi, Komal",https://raagtime.com/ragas/desi-komal,'09-12,S - R - m - P - n' - S',S' - n - d - P - m - g- r - S,True,True,True,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Deskar,https://raagtime.com/ragas/deskar,'06-09,S - R - G - P - D - S',"S' - D - P, D - P - G, P - G - R - S",True,False,True,False,True,False,False,True,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
Dev Gandhar,https://raagtime.com/ragas/dev-gandhar,'09-12,"S - R - m - P - d - (D)m, P - d - n - S'","S' - n - d - P - m - P - (m)g  - R  - S, R - n - S - R - G - m, P - (m)g - R - S",True,False,True,True,True,True,False,True,True,True,True,False,raagtime_Raw_Data.csv,,,,,,
Dhanashree,https://raagtime.com/ragas/dhanashree,'18-21,N - S - G - m - P - N - S',"S' - N - D - P, P - Dm, P - G, G - m - G - R - S",True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Dhanashree, Multani",https://raagtime.com/ragas/dhanashree-multani,'21-24,"'n - S - m - g - M - P, (m)g - m - P - S' - n - S'","S' - N - d - P - M - g - M - g, g - M - P - (M)g, M - g - r - S",True,True,False,True,False,True,True,True,True,False,True,True,raagtime_Raw_Data.csv,,,,,,
"Dhanashree, Puriya",https://raagtime.com/ragas/dhanashree-puriya,'15-18,'N - r - G - M - d - N - r' - S',"r' - N - d - P, M - G - M - r - G - r - S",True,True,False,False,True,False,True,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Dhani,https://raagtime.com/ragas/dhani,Monsoon,'n - S - g - m - P - n - S',S' - n - P - M - g - R - S,True,False,True,True,False,True,True,True,False,False,True,False,raagtime_Raw_Data.csv,,,,,,
Dhanya Dhaivat,https://raagtime.com/ragas/dhanya-dhaivat,'03-06,"S - r - G, P - D - S'","S' - D - P, G - r - S",True,True,False,False,True,False,False,True,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
Dhavalshree,https://raagtime.com/ragas/dhavalshree,Monsoon,'N - S - G - P - M - d - P - M - D - N - D - P - M - D - N - S,r' - N - d - P - M - G - M - r - G - r - S,True,True,False,False,True,False,True,True,True,True,False,True,raagtime_Raw_Data.csv,,,,,,
Durga,https://raagtime.com/ragas/durga,'21-24,S - R - m - R - P - D - S',S' - D - P - D - m - R - 'D - S,True,False,True,False,False,True,False,True,False,True,False,False,raagtime_Raw_Data.csv,,,,,,
Gandhakriya,https://raagtime.com/ragas/gandhakriya,'06-09,S - r - G - r - m - P - N - d - N - S',S' - N - d - P - m - G - r - S,True,True,False,False,True,True,False,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Gandhari,https://raagtime.com/ragas/gandhari,'09-12,S - R - m - P - d - n - S',S' - n - d - n - d - P - m - g - r - S,True,True,True,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Gara,https://raagtime.com/ragas/gara,'06-09,S - G - m - P - D - N - S',"S' - n - D - P - m - G, R - g - R - S, N - (R)S - 'n - 'D - S",True,False,True,True,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Gauri,https://raagtime.com/ragas/gauri,'18-21,"S - (r)G - r, G - G - m - P - m, P - d - N - S'","S' - N - D - (m)P, d - (m)P - m - (r)G, (r)G - r - 'N - S - 'N - S",True,True,False,False,True,True,False,True,True,True,False,True,raagtime_Raw_Data.csv,,,,,,
"Gauri, Lalita",https://raagtime.com/ragas/gauri-lalita,'18-21,"S - r - G - m, M - m - G, G - m - P - d - P, P - d - N - S'","S' - N - d - P, d - m, M - d - M - m, G - (M)r - S",True,True,False,False,True,True,True,True,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Girija,https://raagtime.com/ragas/girija,'06-09,S - G - m - d - N - S',S' - N - d - m - G - S,True,False,False,False,True,True,False,False,True,False,False,True,raagtime_Raw_Data.csv,,,,,,
Gopika Basant,https://raagtime.com/ragas/gopika-basant,'06-09,S - g - m - P - d - n - S',S' - n - d - P - m - g - S,True,False,False,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Gunakali,https://raagtime.com/ragas/gunakali,'06-09,S - r - m - P - d - S',S' - d - P - m - r - S,True,True,False,False,False,True,False,True,True,False,False,False,raagtime_Raw_Data.csv,,,,,,
"Gunakali, Utari",https://raagtime.com/ragas/gunakali-utari,'06-09,"S - r - g - m, - m - P - (n)d - n - S'","S' - n - (n)d -P, d - m - P, (P)g, g - m - r - S",True,True,False,True,False,True,False,True,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Gyankali,https://raagtime.com/ragas/gyankali,'09-12,S - r - m - d - n - S',S' - n - d - m - r - S,True,True,False,False,False,True,False,False,True,False,True,False,raagtime_Raw_Data.csv,,,,,,
Hameer,https://raagtime.com/ragas/hameer,'21-24,S - R - S - G - m - D - N - D - S',S' - N - D - P - M - P - G - m - R - S,True,False,True,False,True,True,True,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
Harikauns,https://raagtime.com/ragas/harikauns,'21-24,S - g - M - D - n - S',S' - n - D - M - g - S,True,False,False,True,False,False,True,False,False,True,True,False,raagtime_Raw_Data.csv,,,,,,
Haunsdhwani,https://raagtime.com/ragas/haunsdhwani,'18-21,S - R - G - P - N - S',S' - N - P - G - R - S,True,False,True,False,True,False,False,True,False,False,False,True,raagtime_Raw_Data.csv,,,,,,
Haunskinkini,https://raagtime.com/ragas/haunskinkini,'12-15,'N - S - G - m - P - N - S',"S - n - D - P - m - P - g, m - P - (m)g - R - S - 'N - 'N - S",True,False,True,True,True,True,False,True,False,True,True,True,raagtime_Raw_Data.csv,,,,,,
Haunsnad,https://raagtime.com/ragas/haunsnad,'18-21,S - r - G - M - N - S',S' - N - P - M - r - S,True,True,False,False,True,False,True,True,False,False,False,True,raagtime_Raw_Data.csv,,,,,,
Hemant,https://raagtime.com/ragas/hemant,'21-24,S - G - m - D - N - S',S' - N - D - P - m - G - m - R - S,True,False,True,False,True,True,False,True,False,True,False,True,raagtime_Raw_Data.csv,,,,,,
