Raag Name,URL,Time,Aaroh,Avroh,S,r,R,g,G,m,M,P,d,D,n,N
"Manohari, Amba",https://raagtime.com/ragas/manohari-amba,'09-12,S - R - g - m - D - N - S',S' - N - D - m - g - R - S,True,False,True,True,False,True,False,False,False,True,False,True
"Manohari, Kamal",https://raagtime.com/ragas/manohari-kamal,'06-09,S - G - m - P - d - N - S',S' - N - d - P - m - G - S,True,False,False,False,True,True,False,True,True,False,False,True
Maru,https://raagtime.com/ragas/maru,'15-18,S - r - G - m - M - P - d - N - S',S' - N - d - P - M - m - G - R - S,True,True,True,False,True,True,True,True,True,False,False,True
Maru Bihag,https://raagtime.com/ragas/maru-bihag,'15-18,"N - S - G - M - P - m - G, M - P - N - S'","S' - N - D - P - M - G, M - G - R - S",True,False,True,False,True,True,True,True,False,True,False,True
Marwa,https://raagtime.com/ragas/marwa,'15-18,'N - r - G - M - D - N - D - S',S' - N - D - M - G - r - S,True,True,False,False,True,False,True,False,False,True,False,True
Megh,https://raagtime.com/ragas/megh,Monsoon,S - m - R~ - P - m - P - n - S',S' - n - P - m - R~ - S,True,False,True,False,False,True,False,True,False,False,True,False
Mevada,https://raagtime.com/ragas/mevada,'03-06,S - R - G - m - P - D - N - S',S - N - D - P - m - G - R - S,True,False,True,False,True,True,False,True,False,True,False,True
"Mohini, Ahi",https://raagtime.com/ragas/mohini-ahi,'21-24,S - r - G - m - P - D - n - S',S' - n - d - P - m - g - R - S,True,True,True,True,True,True,False,True,True,True,True,False
"Mohini, Chitta",https://raagtime.com/ragas/mohini-chitta,'12-15,"S, R - G - m - P, D - N - S'","S', N - P, m - R, S",True,False,True,False,True,True,False,True,False,True,False,True
Motaki,https://raagtime.com/ragas/motaki,'18-21,'n - S - g - m - P - D - n - S',S' - d - n - P - D - g - m - r - S,True,True,False,True,False,True,False,True,True,True,True,False
Multani,https://raagtime.com/ragas/multani,'15-18,'N - S - g - M - P - N - S',S' - N - d - P - M - g - r - S,True,True,False,True,False,False,True,True,True,False,False,True
Naat Kuranjika,https://raagtime.com/ragas/naat-kuranjika,'09-12,"'n - S, G - m, D - n - S'","R - n - S' - D - m, G - m - r - S",True,True,True,False,True,True,False,False,False,True,True,False
Nand,https://raagtime.com/ragas/nand,'21-24,S - G - m - P - D - N - P - D - M - P - S',"S' - N - D - P - M - P, D - P - G - m - P - R - S",True,False,True,False,True,True,True,True,False,True,False,True
Narayani,https://raagtime.com/ragas/narayani,'21-24,S - R - m - P - D - n - D - S',S' - n - D - P - m - R - S,True,False,True,False,False,True,False,True,False,True,True,False
"Nat, Shuddha",https://raagtime.com/ragas/nat-shuddha,'21-24,S - R - G - m - P - D - N - S',S' - N - P - m - R - S,True,False,True,False,True,True,False,True,False,True,False,True
Nilambari,https://raagtime.com/ragas/nilambari,'21-24,S - R - m - P - D - S',R' - n - D - P - m - G - g - R - 'N - S - 'D - 'n - g - R,True,False,True,True,True,True,False,True,False,True,True,True
Nupur,https://raagtime.com/ragas/nupur,'24-03,"S - R - P, n - N - S'","S' - n - P, G - m, R - S",True,False,True,False,True,True,False,True,False,False,True,True
Pahadi,https://raagtime.com/ragas/pahadi,'18-21,'P - 'D - S - R - G - P - D - S',S' - N - D - P - m - G - R - s - 'n - 'd - 'P - 'd - S,True,False,True,False,True,True,False,True,True,True,True,True
Pancham,https://raagtime.com/ragas/pancham,'18-21,S - m - G - M - D - N - D - N - M - D - S',S' - N - D - M - D - M - G - r - S,True,True,False,False,True,True,True,False,False,True,False,True
Paraj,https://raagtime.com/ragas/paraj,'24-03,"'N - S - G, M - P - d - N - S'","S' - N - d - P, M - P - d - P, m - G - r - S",True,True,False,False,True,True,True,True,True,False,False,True
Patadeep,https://raagtime.com/ragas/patadeep,'12-15,'N - S - g - m - P - N - S',S' - N - D - P - m - g - R - S,True,False,True,True,False,True,False,True,False,True,False,True
Patdipaki,https://raagtime.com/ragas/patdipaki,'12-15,S - G - m - P - N - S',S' - N - D - P - m - G - m - P - g - R - S,True,False,True,True,True,True,False,True,False,True,False,True
Pilu,https://raagtime.com/ragas/pilu,'15-18,'N - S - g - m - P - N - S',S' - N - S' - n - D - P - m - G - m - P - (m)g - R - S - N - S,True,False,True,True,True,True,False,True,False,True,True,True
Poorvi,https://raagtime.com/ragas/poorvi,'15-18,'N - r - G - M - d - N - S',"S' - N - d - P - M - G - m - r - G, M - G - r - S",True,True,False,False,True,True,True,True,True,False,False,True
"Prabha, Kumud",https://raagtime.com/ragas/prabha-kumud,'15-18,S - r - G - d - N - S',S' - P - M - G - 'N - S,True,True,False,False,True,False,True,True,True,False,False,True
